[admin@manjara week8]$ ./ex2 &
[1] 9927
[admin@manjara week8]$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   6180 2206844 113524 1667808    0    0   127   236 1549 2548 40 10 47  2  0
 0  0   6180 1173316 113524 1673696    0    0     0     0 5093 35529 28 24 49  0  0
 1  0   6180 1074008 113524 1673424    0    0     0    48 2395 21907 19 10 72  0  0
 0  0   6180 156468 113524 1666256    0    0     0     0 4423 30710 11 11 78  0  0
 2  0 204976 147324  73940 1442532    0    0     0    12 3097 24731 16 31 53  0  0
 0  2 637016 230256   5632 722120    0   64  4198    64 7697 24744  8 43 31 17  0
 3  3 658140 171296   4700 688756    0    0 11425    16 2804 22232 16 18 12 54  0
 2  8 1506568 217564   3480 581644    0   20 11040    44 7045 24054  9 79  2 11  0
 2  9 2326448 216744   3120 549920    0  768 13334   768 16239 3341  2 63  3 33  0
 1 16 3265296 216932   2468 531884    0  976  5113   976 64934 2143  2 35  0 63  0
 1 22 4063796 361028   1792 515276    0  184  8849   184 25569 1945  1 48  0 51  0
 1 16 4067684 290664   2080 527708    0   52 10416    80 1172 1845  4 10  0 86  0
 4 31 2232980 4896508    592 503248    0   44 34548    52 15775 2268  0 16  0 84  0
 0 27 2232520 4880868    868 517976    0    0 14562     0  328  672  0  5  0 94  0
 0 25 2232140 4866504   1140 532356    0    0 15694     0  367  684  0  3  0 97  0
 0 24 2231100 4851132   1288 546996    8    0 15786    56  401 1087  0  5  0 95  0
 0 22 2229244 4838784   1984 558240    0    0 12510    20  421 1196  0  5  0 95  0
 0 16 2226672 4823924   2428 571272    0    0 14873     0  694 2524  1  7  0 92  0
 0 18 2225716 4804364   2436 590960    0    0 19128     0  534 1711  0  7  2 91  0
 2 16 2224576 4784244   2436 610120    0    0 19241     0  615 2102  9  8  2 82  0
 0 15 2220716 4752996   2436 637868    0    0 21675     0 1059 3615 11 12  3 74  0
 0 13 2219488 4737616   2916 651616    4    0 12080    16  695 2041  2  7  0 91  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 14 2213620 4721236   3064 664652    0    0 16453     0  740 2596  2  7  0 90  0
 0 17 2211756 4705988   3492 678944    0    0 11349   196 1129 2421  6 10  0 84  0
 2 15 2208384 4670708   3520 689696    0    0 11672    16  917 2731  4  8  0 88  0
 1  7 2206452 4649556   3524 710592    0    0 16247     0  986 2710  3  9  4 84  0
 1  9 2201260 4628592   3540 730660    0    0 16406     0 1269 3447  8 11  1 81  0
 0  4 2199908 4602148   3676 757196    4    0 17449     0 1103 3074  3 13 12 71  0
 1  4 2194388 4569136   3676 789392    0    0 20472     0 1290 3737  8 14 27 51  0
 0  0 2191232 4546724   3676 810272    0    0  4962     0 3369 31051 31 13 41 15  0
 1  0 2191008 4541852   3684 815648    0    0     0    56 2755 26725 20  9 70  1  0
 4  0 2190736 4548740   3684 809120    0    0     0     0 2846 27161 23  7 70  0  0
 3  0 2190276 4550220   3684 808644    0    0     0  2060 4640 37037 35 16 41  8  0
 0  0 2186464 4566396   3684 810388    0    0  5506     0 3956 37665 37 13 45  5  0
 0  0 2186348 4567892   3684 808392    0    0     0     0 1376 9742  9  4 87  0  0
 0  0 2186208 4567892   3684 808392    0    0     0     0 1392 10234  9  4 86  0  0
 0  0 2186004 4567892   3684 808780    0    0   388    12 1309 10304  7  5 88  1  0
 0  0 2185976 4569784   3692 808524    0    0     0    24 1280 10306  8  3 88  1  0
 0  0 2185556 4570632   3692 808540    0    0     0     0 1826 12090 15  6 79  0  0
 3  0 2184664 4569672   3692 808668    0    0    68    16 3871 39977 32 11 56  0  0
 1  0 2184556 4570332   3692 808668    0    0     0     0 6571 71666 44 19 37  0  0
 0  0 2184252 4568096   3692 808924    0    0     0     4 3861 39857 30 12 59  0  0
^C
[1]+  Killed                  ./ex2
